Prompt;Accepted;Rejected;;
Recommended film if you watched:Everyone Says I Love You (1996);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Bitter Sugar (Azucar Amargo) (1996);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:William Shakespeare's Romeo and Juliet (1996);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Swingers (1996);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Sleepers (1996);Waiting to Exhale (1995)-Heat (1995)-Nixon (1995)-Get Shorty (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Sunchaser; The (1996);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Johns (1996);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Aladdin and the King of Thieves (1996);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Balto (1995)-Ace Ventura: When Nature Calls (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-Tom and Huck (1995);;
Recommended film if you watched:Woman in Question; The (1950);Confessional, The (Le Confessionnal) (1995)-Before and After (1996)-Manhattan Murder Mystery (1993)-Rising Sun (1993)-Hour of the Pig, The (1993);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Shall We Dance? (1937);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Damsel in Distress; A (1937);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);
Recommended film if you watched:Crossfire (1947);Heat (1995)-Copycat (1995)-Dead Presidents (1995)-Seven (Se7en) (1995)-Usual Suspects, The (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Murder; My Sweet (1944);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Macao (1952);Mortal Kombat (1995)-Waterworld (1995)-Good Man in Africa, A (1994)-Quest, The (1996)-Phantom, The (1996);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:For the Moment (1994);Richard III (1995)-Braveheart (1995)-Rob Roy (1995)-Beyond Rangoon (1995)-Canadian Bacon (1994);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Willy Wonka and the Chocolate Factory (1971);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995);Father of the Bride Part II (1995)-Heat (1995)-Sudden Death (1995)-Balto (1995)-Nixon (1995);;
Recommended film if you watched:Sexual Life of the Belgians; The (1994);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Innocents; The (1961);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Sleeper (1973);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Bananas (1971);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Fish Called Wanda; A (1988);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Monty Python's Life of Brian (1979);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Victor/Victoria (1982);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Candidate; The (1972);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Great Race; The (1965);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);
Recommended film if you watched:Bonnie and Clyde (1967);Waiting to Exhale (1995)-Heat (1995)-Nixon (1995)-Get Shorty (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Old Man and the Sea; The (1958);Jumanji (1995)-Waiting to Exhale (1995)-Tom and Huck (1995)-GoldenEye (1995)-Nixon (1995);Toy Story (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Dial M for Murder (1954);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Madame Butterfly (1995);Misérables, Les (1995)-Muppet Treasure Island (1996)-Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)-Farinelli: il castrato (1994)-Backbeat (1993);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Dirty Dancing (1987);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Reservoir Dogs (1992);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Platoon (1986);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Weekend at Bernie's (1989);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Basic Instinct (1992);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Doors; The (1991);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Crying Game; The (1992);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Glengarry Glen Ross (1992);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Sophie's Choice (1982);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:E.T. the Extra-Terrestrial (1982);Toy Story (1995)-Jumanji (1995)-American President, The (1995)-Casino (1995)-Sense and Sensibility (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Search for One-eye Jimmy; The (1996);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Christmas Carol; A (1938);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Days of Thunder (1990);Grumpier Old Men (1995)-Heat (1995)-Sabrina (1995)-GoldenEye (1995)-American President, The (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995);;
Recommended film if you watched:Top Gun (1986);Grumpier Old Men (1995)-Heat (1995)-Sabrina (1995)-GoldenEye (1995)-American President, The (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995);;
Recommended film if you watched:American Strays (1996);Sudden Death (1995)-Money Train (1995)-Fair Game (1995)-Bad Boys (1995)-Under Siege 2: Dark Territory (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Rebel Without a Cause (1955);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Streetcar Named Desire; A (1951);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Children of the Corn IV: The Gathering (1996);Dracula: Dead and Loving It (1995)-Addiction, The (1995)-Lord of Illusions (1995)-Prophecy, The (1995)-Castle Freak (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Leopard Son; The (1996);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Loser (1991);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Prerokbe Ognja (1995);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Charm's Incidents (1996);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Bird of Prey (1996);Sudden Death (1995)-Money Train (1995)-Fair Game (1995)-Bad Boys (1995)-Under Siege 2: Dark Territory (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Microcosmos (Microcosmos: Le peuple de l'herbe) (1996);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Palookaville (1996);Waiting to Exhale (1995)-Heat (1995)-GoldenEye (1995)-Nixon (1995)-Cutthroat Island (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Associate; The (1996);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Funeral; The (1996);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Sleepover (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Single Girl; A (La Fille Seule) (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Eighth Day; The (Le Huitième jour ) (1996);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Tashunga (1995);Jumanji (1995)-Tom and Huck (1995)-GoldenEye (1995)-Cutthroat Island (1995)-City of Lost Children, The (1995);Toy Story (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Drunks (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:People vs. Larry Flynt; The (1996);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Glory Daze (1996);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Plutonium Circus (1995);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Perfect Candidate; A (1996);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:On Golden Pond (1981);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Return of the Pink Panther; The (1974);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
